Source,Target
60 function to use global varibale implementation,"""\ndef gloabl_use(n) : \n\tglobal val\n\treturn val * n\n#61 implementation of local cooncept\ndef inner_show() : \n\tx = 'Hola'\n\tdef inner() : \n\t\tnonlocal x\n\t\tx = 'Hola World'\n\t\tprint(f'Inner function x is {x}')\n\tinner()\n\tprint(f'outer function x is {x}')"""
62 custom counter function,"'\ndef custom_counter() : \n\t""""""\n\tAn implementation of closures\n\t""""""\n\tx = 0\n\tdef inner() : \n\t\tnonlocal x\n\t\tx += 1\n\t\tprint(f\' Switch or button is called {x} times\')\n\t\treturn inner\n#63 custom logging along with counter\ndef custom_counter_log() : \n\t""""""\n\tAn implementation of closures\n\t""""""\n\tx = 0\n\tdt = datetime.now()\n\tdef inner() : \n\t\tnonlocal x\n\t\tx += 1\n\t\tprint(f\' Switch or button is called {x} at {dt}\')\n\t\treturn inner'"
64 function to build a time elapsed closures,'\ndef time_elsaped()\n\tstart = perf_counter()\n\tdef inner()\n\t\tnonlocal perf_counter\n\t\treturn perf_counter() - start\n\treturn inner'
65 function to attach counter to function,"'\ndef attach_counter(fn :  ""Function"") : \n\tcount = 0\n\tdef inner(*args, **kwargs) : \n\t\tnonlocal count\n\t\tcount += 1\n\t\treturn fn(*args, **kwargs)\n\treturn inner'"
66 attach function closure with logs details to another function,"'\ndef attach_log(fn :  ""function"") : \n\tdef inner(*args, **kwargs) : \n\t\tdt = datetime.now()\n\t\tprint(f\'{fn.__name__} is called at {dt} with {args} {kwargs} \')\n\t\treturn fn(*args, **kwargs)\n\treturn inner'"
67 function counter to store the number of times multiples function called in a dictionary,"'\ndef count_func_dict(fn :  ""Function Name"") : \n\tcount = 0\n\tdef inner(*args, **kwargs) : \n\t\tnonlocal count\n\t\tcount =+= 1\n\t\tcounter_67[fn.__name__] = count\n\t\treturn fn(*args, **kwargs)\n\treturn inner'"
68 write a function to unpack tuple of minimum 2 value to unlimited length int first two and rest,"'\ndef unpack_tuple(tup) : \n\ta, b , *c = tup\n\treturn a , b, c'"
69 write a function which take unlimited number and add it   Note : Number can be anything,"'\ndef add_unlimited(*args) : \n\treturn sum(args)\n#70 class to print user defined message whenever object of class is called is called.\nclass User : \n\tdef __init__(self, msg=""Demo of custom message by repr and str in class"") : \n\t\tself.msg = msg\n\tdef __repr__(self) : \n\t\treturn f""Object of User class is called with parameter {self.msg}""\n\tdef __str__(self) : \n\t\treturn f""Object of User class is called with parameter {self.msg}""\n#71 class to show implementation of equality and less than implementation in an class\nclass GqLt : \n\tdef __init__(self, msg=""Demo of lt and eq in class"") : \n\t\tself.msg = msg\n\tdef __eq__(self, other) : \n\t\t""""""\n\t\tEquality check between two object of same class.\n\t\tIt is mandatory to implement __eq__ in class to do equality check.\n\t\t""""""\n\t\tif isinstance(other, GqLt) : \n\t\t\treturn ""Code to be written here to match equality check between two object of same class""\n\t\telse : \n\t\t\traise ValueError(\'Invalid comparison\')\n\tdef __lt__(self, other) : \n\t\t""""""\n\t\tLess than or greater than check between two objects of same class.\n\t\tIt is mandatory to implement __eq__ in class to do equality check.\n\t\t""""""\n\t\tif isinstance(other, GqLt) : \n\t\t\treturn ""Code to be written here to match equality check between two object of same class""\n\t\telse : \n\t\t\traise ValueError(\'Invalid comparison\')\n#72 class to show as how to make the class as callable\nclass CallShow : \n\t""""""\n\tThis is the space to do documentation related to class.\n\t""""""\n\tdef __init__(self, msg = \'Demo class to show how to make class object as callable\') : \n\t\tself.msg = msg\n\tdef __call__(self) : \n\t\t""""""\n\t\tto make object as callable the class should have __call__ in it\n\t\t""""""\n\t\treturn f""Code to be writen here above to act as per accling object of call""'"
73 function to store the data of IPL match in Namedtuple,"""\ndef store_ipl_date(tuple1) : \n\tfrom collections import namedtuple\n\tIplData = namedtuple('IplData', 'match toss choice session1 session2 winner')\n\treturn IplData(*tuple1)"""
74 function to show namedtuple is instance of tuple,"'\ndef show_ins_tup() : \n\tfrom collections import namedtuple\n\tIplData = namedtuple(\'IplData\', \'match toss choice session1 session2 winner\')\n\tmatch1 = IplData(\'RCBvsKKR\', \'KKR\', \'bat\', \'229/9\', \'85/8\', \'KKR\')\n\treturn isinstance(match1, tuple)\n#75 return dot product of two vectors\ndef dot_product(a :  ""Vector1"", b :  ""Vector2"") : \n\treturn sum( e[0]*e[1] for e in zip(a,b) )'"
76 function to showcast documemtation of namedtuple,"""\ndef show_doc_named() : \n\tfrom collections import namedtuple\n\tIplData = namedtuple('IplData', 'match toss choice session1 session2 winner')\n\tIplData.__doc__ = 'Namedtuple class to store the IPL match data'\n\tIplData.match.__doc__ = 'Team name'\n\tIplData.toss.__doc__ = 'Who won the toss'\n\tIplData.choice.__doc__ = 'Decision taken by wiinng team toss'\n\tIplData.session1.__doc__ = 'Run scored by Team1'\n\tIplData.session2.__doc__ = 'Run scored by Team2'\n\tIplData.winner.__doc__ = 'Winning Team'\n\treturn help(IplData)"""
77 show all local values while one function is running,"'\ndef show_local() : \n\timport math\n\ta = 10\n\tb = \'Hello There\'\n\tprint(locals())\n#78 class to show implementation of static method\nclass Mathematics : \n\t""""""\n\tThis is the space to do documentation related to class.\n\t""""""\n\tdef __init__(self, msg=""Demo class of Mathematics"") : \n\t\tself.msg = msg\n\tdef __str__(self) : \n\t\treturn f\' String representation of an object\'\n\tdef __repr__(self) : \n\t\treturn f\' repr representation of an object with parameter {self.msg}\'\n\t@staticmethod\n\tdef addition(a :  ""Variable1"", b :  \'Variable2\') : \n\t\t""""""\n\t\t@staticmethod makes the mtethod of class as static method.\n\t\tIt is always recommended to metion it via decorator.\n\t\t""""""\n\t\treturn a+b\n#79 class to show implementation of custom sequence of list\nclass CustomList : \n\t""""""\n\tThis is the space to do documentation related to class.\n\t""""""\n\tdef __init__(self) : \n\t\tself.list_ = [1,2,3,4]\n\tdef __len__(self) : \n\t\treturn len(self.list_)\n\tdef __getitem__(self, i) : \n\t\tif isinstance(i, int) : \n\t\t\tif i<0 : \n\t\t\t\ti = len(self.list_) + i\n\t\t\tif i<0 or i>=len(self.list_) : \n\t\t\t\traise IndexError(\'Invalid Input\')\n\t\t\telse : \n\t\t\t\treturn self.list_[i]\n#80 class to show implementation of custom sequence of tuple\nclass CustomTuple : \n\t""""""\n\tThis is the space to do documentation related to class.\n\t""""""\n\tdef __init__(self) : \n\t\tself.list_ = (1,2,3,4)\n\tdef __len__(self) : \n\t\treturn len(self.list_)\n\tdef __getitem__(self, i) : \n\t\tif isinstance(i, int) : \n\t\t\tif i<0 : \n\t\t\t\ti = len(self.list_) + i\n\t\t\tif i<0 or i>=len(self.list_) : \n\t\t\t\traise IndexError(\'Invalid Input\')\n\t\t\telse : \n\t\t\t\treturn self.list_[i]'"
81 generate intereger random number between user choice,"'\ndef gen_ran_int_number(lower, upper) : \n\timport random\n\tfinal = [ random.randint(lower, upper) for _ in range(10) ]\n\treturn final'"
82 function to show how to use f string,"'\ndef f_string(msg :  ""user message"") : \n\tprint(f\'This is an f string with user paramter {msg}\')'"
83 function to show reading values from list is expensive in camparison to tuple,"""\ndef compare_list_tuple() : \n\tfrom timeit import timeit\n\timport random\n\tl = [ random.randint(1,100) for _ in range(100) ]\n\ttu = tuple(l)\n\tlist_time = timeit(stmt = 'max(l)', globals = locals(), number = 1)\n\ttup_time = timeit(stmt = 'max(tu)', globals = locals(), number = 1)\n\tif list_time > tup_time : \n\t\tprint('Hence proved')\n\telse : \n\t\traise ValueError('You did something Wrong')"""
84 generate random number using the concept of iterators,"'\nclass RandomInt : \n\t""""""\n\tThis is the space to do documentation related to class.\n\t""""""\n\tdef __init__(self) : \n\t\tself.n = 10\n\tdef __next__(self) : \n\t\tif self.n > 0 : \n\t\t\tprint(random.randint(0,10))\n\t\t\tself.n -= 1\n\t\telse : \n\t\t\traise StopIteration\n\tdef __iter__(self) : \n\t\treturn self\n#85 distinguish iter , iterables and iterator using example to print 10 random integers number\nclass RandomInt : \n\t""""""\n\tThis is the space to do documentation related to class.\n\t""""""\n\tdef __init__(self) : \n\t\tpass\n\tdef __iter__(self) : \n\t\treturn self.RandomIntIterator(self)\n\tclass RandomIntIterator : \n\t\tdef __init__(self) : \n\t\t\tself.count = 10\n\t\tdef __iter__(self) : \n\t\t\treturn self\n\t\tdef __next__(self) : \n\t\t\tif self.count > 0 : \n\t\t\t\tprint(random.randint(0,10))\n\t\t\t\tself.count -= 1\n\t\t\telse : \n\t\t\t\traise StopIteration\n#86 show class of custom sequence type ,iter , iterables and iterator using example of tuple\nclass CustomTupleIter : \n\t""""""\n\tThis is the space to do documentation related to class.\n\t""""""\n\tdef __init__(self) : \n\t\tself.list_ = (1,2,3,4)\n\tdef __len__(self) : \n\t\treturn len(self.list_)\n\tdef __getitem__(self, i) : \n\t\tif isinstance(i, int) : \n\t\t\tif i<0 : \n\t\t\t\ti = len(self.list_) + i\n\t\t\tif i<0 or i>=len(self.list_) : \n\t\t\t\traise IndexError(\'Invalid Input\')\n\t\t\telse : \n\t\t\t\treturn self.list_[i]\n\tdef __iter__(self) : \n\t\treturn self.CustomTupleIterator(self)\n\tclass CustomTupleIterator : \n\t\tdef __init__(self, other) : \n\t\t\tself.count = 0\n\t\t\tself.other = other\n\t\tdef __iter__(self) : \n\t\t\treturn self\n\t\tdef __next__(self) : \n\t\t\tif self.count < len(self.other.list_) : \n\t\t\t\tself.count += 1\n\t\t\t\treturn self.other.list_[self.count]\n\t\t\telse : \n\t\t\t\traise StopIteration'"
87 clone of orginal list with two functionality i. iterating and sequence,"'\nclass CustomListIter : \n\t""""""\n\tThis is the space to do documentation related to class.\n\t""""""\n\tdef __init__(self) : \n\t\tself.list_ = [1,2,3,4]\n\tdef __len__(self) : \n\t\treturn len(self.list_)\n\tdef __getitem__(self, i) : \n\t\tif isinstance(i, int) : \n\t\t\tif i<0 : \n\t\t\t\ti = len(self.list_) + i\n\t\t\tif i<0 or i>=len(self.list_) : \n\t\t\t\traise IndexError(\'Invalid Input\')\n\t\t\telse : \n\t\t\t\treturn self.list_[i]\n\tdef __iter__(self) : \n\t\treturn self.CustomListIterator(self)\n\tclass CustomListIterator : \n\t\tdef __init__(self, other) : \n\t\t\tself.count = 0\n\t\t\tself.other = other\n\t\tdef __iter__(self) : \n\t\t\treturn self\n\t\tdef __next__(self) : \n\t\t\tif self.count < len(self.other.list_) : \n\t\t\t\tself.count += 1\n\t\t\t\treturn self.other.list_[self.count]\n\t\t\telse : \n\t\t\t\traise StopIteration'"
88 write a class that act like squares and should print the squares of values and and cuustom sequence type.,"'\nclass Square : \n\tdef __init__(self, n) : \n\t\tself.n = n\n\tdef __iter__(self) : \n\t\treturn self.show_sq(self.n)\n\t@staticmethod\n\tdef show_sq(n) : \n\t\t\tfor i in range(n) : \n\t\t\t\tyield i**2\n\tdef __getitem__(self, i) : \n\t\tif isinstance(i, int) : \n\t\t\tif i < = self.n : \n\t\t\t\tprint(i**2)\n\t\t\telse : \n\t\t\t\traise ValueError(\'Index out of bound\')\n#89 fibonaaci using generator\ndef fibo(n) : \n\tx = 0\n\tyield x\n\ty = 1\n\tyield y\n\tfor i in range(n-1) : \n\t\tx, y = y, x+y\n\t\tyield y\n#90 show generator is faster than list\ndef show_gen_fast() : \n\tfrom timeit import timeit\n\tdt = timeit(""[num for num in fib(100) ]"", globals = globals(), number=1)\n\treturn dt\n# Add two strings\ndef add_str(str1,str2) : \n\treturn str1 + str2\n# we are dealing with multiple inheritance\nclass A(object) : \n\tdef foo(self) : \n\t\tprint(""class A"")\nclass B(object) : \n\tdef foo(self) : \n\t\tprint(""class B"")\nclass C(A, B) : \n\tpass\n# This is how pass works in case of multiple inheritance\nclass A1(object) : \n\tdef foo(self) : \n\t\t print(""class A1"")\nclass B1(A1) : \n\tpass\nclass C1(A1) : \n\tdef foo(self) : \n\t\t print(""class C1"")\nclass D1(B1,C1) : \n\tpass\n# List are mutable\na_list = []\nprint(\'ID : \', id(a_list))\na_list += [1]\nprint(\'ID (+=) : \', id(a_list))\na_list = a_list + [2]\nprint(\'ID (list = list + ...) : \', id(a_list))\n# All blank lists are not the same \na_list = []\nprint(a_list, \'\\nID (initial) : \',id(a_list), \'\\n\')\na_list.append(1)\nprint(a_list, \'\\nID (append) : \',id(a_list), \'\\n\')\na_list.extend([2])\nprint(a_list, \'\\nID (extend) : \',id(a_list))\n# True and False in the datetime module\nfrom platform import python_version\nimport datetime\nprint(""Current python version :  "", python_version())\nprint(\'""datetime.time(0,0,0)"" (Midnight) ->\', bool(datetime.time(0,0,0))) # Python version <= 3.4.5 evaluates this statement to False'"
"Python reuses objects for small integers - use ""=="" for equality, ""is"" for identity","""\na = 1\nb = 1\nprint('a is b', bool(a is b))\nc = 999\nd = 999\nprint('c is d', bool(c is d))\n# equality operator works this way\nprint('256 is 257-1', 256 is 257-1)\nprint('257 is 258-1', 257 is 258 - 1)\nprint('-5 is -6+1', -5 is -6+1)\nprint('-7 is -6-1', -7 is -6-1)\n# illustrate the test for equality (==) vs. identity (is)\na = 'hello world!'\nb = 'hello world!'\nprint('a is b,', a is b)\nprint('a == b,', a == b)\n# We would think that identity would always imply equality, but this is not always true, as we can see in the next example : \na = float('nan')\nprint('a is a,', a is a)\nprint('a == a,', a == a)"""
Shallow copy in python,"""\nlist1 = [1,2]\nlist2 = list1        # reference\nlist3 = list1[ : ]     # shallow copy\nlist4 = list1.copy() # shallow copy\nprint('IDs : \\nlist1 :  {}\\nlist2 :  {}\\nlist3 :  {}\\nlist4 :  {}\\n'\n\t\t .format(id(list1), id(list2), id(list3), id(list4)))"""
Deepcopy in python,"""\nlist1 = [[1],[2]]\nlist2 = list1.copy()    # shallow copy\nlist3 = deepcopy(list1) # deep copy\nprint('IDs : \\nlist1 :  {}\\nlist2 :  {}\\nlist3 :  {}\\n'\n\t\t .format(id(list1), id(list2), id(list3)))\n#logical or logical and \nresult = (2 or 3) * (5 and 7)\nprint('2 * 7 =', result)"""
Don't use mutable objects as default arguments for functions!,"""\ndef append_to_list(value, def_list=[]) : \n\tdef_list.append(value)\n\treturn def_list\nmy_list = append_to_list(1)\nprint(my_list)\nmy_other_list = append_to_list(2)\nprint(my_other_list)\n# args and sleep \nimport time\ndef report_arg(my_default=time.time()) : \n\tprint(my_default)\nreport_arg()\ntime.sleep(5)\nreport_arg()\n# Generators are consumed \ngen = (i for i in range(5))\nprint('2 in gen,', 2 in gen)\nprint('3 in gen,', 3 in gen)\nprint('1 in gen,', 1 in gen) """
Convert generator to a list,"""\ngen = (i for i in range(5))\na_list = list(gen)\n# Usage of bool class\nprint('isinstance(True, int) : ', isinstance(True, int))"""
Create list of numbers using lambda function but not the right way,"'\nmy_list = [lambda :  i for i in range(5)]\nfor l in my_list : \n\tprint(l())\n# print the numbers properly by creating a list\nmy_list = [lambda x=i :  x for i in range(5)]\nfor l in my_list : \n\tprint(l())\n# local scope representation\nx = 0\ndef in_func() : \n\tx = 1\n\tprint(\'in_func : \', x)\n# Global Scope Representation\nx = 0\ndef in_func1() : \n\tx = 1\n\tprint(\'in_func1 : \', x)\nprint(\'global : \', x)\n# Usage of global keyword\nx = 0\ndef in_func2() : \n\tglobal x\n\tx = 1\n\tprint(\'in_func2 : \', x)\nin_func2()\nprint(\'global : \', x)\n# local vs. enclosed \ndef outer() : \n\tx = 1\n\tprint(\'outer before : \', x)\n\tdef inner() : \n\t\tx = 2\n\t\tprint(""inner : "", x)\n\tinner()\n\tprint(""outer after : "", x)\nouter()\n# nonlocal keyword comes in handy \ndef outer() : \n\tx = 1\n\tprint(\'outer before : \', x)\n\tdef inner() : \n\t\tnonlocal x\n\t\tx = 2\n\t\tprint(""inner : "", x)\n\tinner()\n\tprint(""outer after : "", x)\nouter()\n# tuples are immutable \ntup = (1,)\ntup[0] += 1\n# what if we put a mutable object into the immutable tuple\ntup1 = ([],)\nprint(\'tup before :  \', tup1)\ntup1[0] += [1]\n# there are ways to modify the mutable contents of the tuple without raising the TypeError\ntup = ([],)\nprint(\'tup before :  \', tup)\ntup[0].extend([1])\nprint(\'tup after :  \', tup)\n# another way to append data to tuple\ntup = ([],)\nprint(\'tup before :  \', tup)\ntup[0].append(1)\nprint(\'tup after :  \', tup)\n# Add tuples like numerics\nmy_tup = (1,)\nmy_tup += (4,)\nmy_tup = my_tup + (5,)\nprint(my_tup)'"
"What happens ""behind"" the curtains is that the tuple is not modified, but a new object is generated every time, which will inherit the old ""name tag"":","'\nmy_tup = (1,)\nprint(id(my_tup))\nmy_tup += (4,)\nprint(id(my_tup))\nmy_tup = my_tup + (5,)\nprint(id(my_tup))\n# Create a plain list\ndef plainlist(n=100000) : \n\tmy_list = []\n\tfor i in range(n) : \n\t\tif i % 5 == 0 : \n\t\t\tmy_list.append(i)\n\treturn my_list\n# Create a list comprehension\ndef listcompr(n=100000) : \n\tmy_list = [i for i in range(n) if i % 5 == 0]\n\treturn my_list\n# Create a Generator\ndef generator(n=100000) : \n\tmy_gen = (i for i in range(n) if i % 5 == 0)\n\treturn my_gen'"
Generator using yield function,"'\ndef generator_yield(n=100000) : \n\tfor i in range(n) : \n\t\tif i % 5 == 0 : \n\t\t\tyield i\n# Generators are faster than list comprehension\nimport timeit\ndef test_plainlist(plain_list) : \n\tfor i in plain_list() : \n\t\tpass\ndef test_listcompr(listcompr) : \n\tfor i in listcompr() : \n\t\tpass\ndef test_generator(generator) : \n\tfor i in generator() : \n\t\tpass\ndef test_generator_yield(generator_yield) : \n\tfor i in generator_yield() : \n\t\tpass\nprint(\'plain_list :      \', end=\'\')\n%timeit test_plainlist(plainlist)\nprint(\'\\nlistcompr :      \', end=\'\')\n%timeit test_listcompr(listcompr)\nprint(\'\\ngenerator :      \', end=\'\')\n%timeit test_generator(generator)\nprint(\'\\ngenerator_yield :      \', end=\'\')\n%timeit test_generator_yield(generator_yield)\n# Public vs. private class methods and name mangling\n\tdef public_method(self) : \n\t\tprint(\'Hello public world!\')\n\tdef __private_method(self) : \n\t\tprint(\'Hello private world!\')\n\tdef call_private_method_in_class(self) : \n\t\tself.__private_method()\nmy_instance = my_class()\nmy_instance.public_method()\nmy_instance._my_class__private_method()\nmy_instance.call_private_method_in_class()\n# The consequences of modifying a list when looping through it\na = [1, 2, 3, 4, 5]\nfor i in a : \n\tif not i % 2 : \n\t\ta.remove(i)\nprint(a)\nb = [2, 4, 5, 6]\nfor i in b : \n\t\tif not i % 2 : \n\t\t\tb.remove(i)\nprint(b)\n#  iterating through the list index by index\nb = [2, 4, 5, 6]\nfor index, item in enumerate(b) : \n\tprint(index, item)\n\tif not item % 2 : \n\t\tb.remove(item)\nprint(b)\n# Dynamic binding and typos in variable names\nprint(\'first list : \')\nfor i in range(3) : \n\tprint(i)\nprint(\'\\nsecond list : \')\nfor j in range(3) : \n\tprint(i) # I (intentionally) made typo here!\n# List slicing using indexes that are ""out of range""\nmy_list = [1, 2, 3, 4, 5]\nprint(my_list[5])\n# Reusing global variable names and UnboundLocalErrors\ndef my_func() : \n\tprint(var)\nvar = \'global\'\nmy_func()\n# No problem to use the same variable name in the local scope without affecting the local counterpart : \ndef my_func() : \n\tvar = \'locally changed\'\nvar = \'global\'\nmy_func()\nprint(var)'"
"we have to be careful if we use a variable name that occurs in the global scope, and we want to access it in the local function scope if we want to reuse this name:","'\ndef my_func() : \n\tprint(var)  # want to access global variable\n\tvar = \'locally changed\'  # but Python thinks we forgot to define the local variable!\nvar = \'global\'\nmy_func()\n# We have to use the global keyword!\ndef my_func() : \n\tglobal var\n\tprint(var)  # want to access global variable\n\tvar = \'locally changed\'  # changes the gobal variable\nvar = \'global\'\nmy_func()\nprint(var)\n# Creating copies of mutable objects\nmy_list1 = [[1, 2, 3]] * 2\nprint(\'initially ---> \', my_list1)\n# modify the 1st element of the 2nd sublist\nmy_list1[1][0] = \'a\'\nprint(""after my_list1[1][0] = \'a\' ---> "", my_list1)\n# we should better create ""new"" objects : \nmy_list2 = [[1, 2, 3] for i in range(2)]\nprint(\'initially :   ---> \', my_list2)\n# modify the 1st element of the 2nd sublist\nmy_list2[1][0] = \'a\'\nprint(""after my_list2[1][0] = \'a\' :   ---> "", my_list2)\nfor a, b in zip(my_list1, my_list2) : \n\tprint(\'id my_list1 :  {}, id my_list2 :  {}\'.format(id(a), id(b)))\n# Abortive statements in finally blocks\ndef try_finally1() : \n\ttry : \n\t\tprint(\'in try : \')\n\t\tprint(\'do some stuff\')\n\t\tfloat(\'abc\')\n\texcept ValueError : \n\t\tprint(\'an error occurred\')\n\telse : \n\t\tprint(\'no error occurred\')\n\tfinally : \n\t\tprint(\'always execute finally\')\ntry_finally1()\n# Assigning types to variables as values\na_var = str\na_var(123)\n#random choice \nfrom random import choice\na, b, c = float, int, str\nfor i in range(5) : \n\tj = choice([a,b,c])(i)\n\tprint(j, type(j))\n# Only the first clause of generators is evaluated immediately\ngen_fails = (i for i in 1/0)\n# lazy evaluation \ngen_succeeds = (i for i in range(5) for j in 1/0)\nprint(\'But obviously fails when we iterate ...\')\nfor i in gen_succeeds : \n\tprint(i)\n# Usge of *args \ndef a_func(*args) : \n\tprint(\'type of args : \', type(args))\n\tprint(\'args contents : \', args)\n\tprint(\'1st argument : \', args[0])\na_func(0, 1, \'a\', \'b\', \'c\')\n# usage of kwargs\ndef b_func(**kwargs) : \n\tprint(\'type of kwargs : \', type(kwargs))\n\tprint(\'kwargs contents :  \', kwargs)\n\tprint(\'value of argument a : \', kwargs[\'a\'])\nb_func(a=1, b=2, c=3, d=4)\n# Unpacking of iterables\nval1, *vals = [1, 2, 3, 4, 5]\nprint(\'val1 : \', val1)\nprint(\'vals : \', vals)\n# if else for \nfor i in range(5) : \n\tif i == 1 : \n\t\tprint(\'in for\')\nelse : \n\tprint(\'in else\')\nprint(\'after for-loop\')\n# usage of break\nfor i in range(5) : \n\tif i == 1 : \n\t\tbreak\nelse : \n\tprint(\'in else\')\nprint(\'after for-loop\')\n# conditional usecase\na_list = [1,2]\nif a_list[0] == 1 : \n\tprint(\'Hello, World!\')\nelse : \n\tprint(\'Bye, World!\')\n# Usage of while\ni = 0\nwhile i < 2 : \n\tprint(i)\n\ti += 1\nelse : \n\tprint(\'in else\')\n# Interning of string \nhello1 = \'Hello\'\nhello2 = \'Hell\' + \'o\'\nhello3 = \'Hell\'\nhello3 = hello3 + \'o\'\nprint(\'hello1 is hello2 : \', hello1 is hello2)\nprint(\'hello1 is hello3 : \', hello1 is hello3)\n# Disassembler \nimport dis\ndef hello1_func() : \n\ts = \'Hello\'\n\treturn s\ndis.dis(hello1_func)\n# example to demonstrate usage of docstring\ndef greet(name) : \n\t""""""\n\tThis function greets to\n\tthe person passed in as\n\ta parameter\n\t""""""\n\tprint(""Hello, "" + name + "". Good morning!"")'"
Absolute function,"'\ndef absolute_value(num) : \n\t""""""This function returns the absolute\n\tvalue of the entered number""""""\n\tif num >= 0 : \n\t\treturn num\n\telse : \n\t\treturn -num\nprint(absolute_value(2))\nprint(absolute_value(-4))\n#usage of dictionary\ndict = {\'Name\' :  \'Zara\', \'Age\' :  7, \'Class\' :  \'First\'}\nprint ""dict[\'Name\'] :  "", dict[\'Name\']\nprint ""dict[\'Age\'] :  "", dict[\'Age\']\n# accept user input\nstr = input(""Enter your input :  "")\nprint (""Received input is  :  "", str)'"
A recursive function to find nth catalan number,'\ndef catalan(n) :  \n\t# Base Case \n\tif n <= 1 :  \n\t\treturn 1\n\t# Catalan(n) is the sum  \n\t# of catalan(i)*catalan(n-i-1) \n\tres = 0\n\tfor i in range(n) :  \n\t\tres += catalan(i) * catalan(n-i-1) \n\treturn res \n# Driver Code \nfor i in range(10) :  \n\tprint (catalan(i))'
A naive recursive Python implementation,"'\ndef binomialCoeff(n , k) :  \n\tif k > n  :  \n\t\treturn 0\n\tif k==0 or k ==n  :  \n\t\treturn 1\n\t# Recursive Call \n\treturn binomialCoeff(n-1 , k-1) + binomialCoeff(n-1 , k) '"
Driver Program to test ht above function,"'\nn = 5\nk = 2\nprint (""Value of C(%d,%d) is (%d)"" %(n , k , binomialCoeff(n , k)) )'"
A naive Python implementation of LIS problem,"'\n"""""" To make use of recursive calls, this function must return \n\ttwo\tthings : \t\n\t1)\tLength\tof\tLIS\tending\twith\telement\tarr[n-1].\tWe\tuse\t\n\tmax_ending_here\tfor\tthis\tpurpose\t\n\t2)\tOverall\tmaximum\tas\tthe\tLIS\tmay\tend\twith\tan\telement\t\n\tbefore\tarr[n-1]\tmax_ref\tis\tused\tthis\tpurpose.\t\n\tThe\tvalue\tof\tLIS\tof\tfull\tarray\tof\tsize\tn\tis\tstored\tin\t\n\t*max_ref\twhich\tis\tour\tfinal\tresult\t""""""\n# global variable to store the maximum \nglobal maximum \ndef _lis(arr , n ) :  \n\t# to allow the access of global variable \n\tglobal maximum \n\t# Base Case \n\tif n == 1  :  \n\t\treturn 1\n\t# maxEndingHere is the length of LIS ending with arr[n-1] \n\tmaxEndingHere = 1\n\t""""""Recursively get all LIS ending with arr[0], arr[1]..arr[n-2] \n\t\tIF arr[n-1] is maller than arr[n-1], and max ending with \n\t\tarr[n-1] needs to be updated, then update it""""""\n\tfor i in range(1, n) :  \n\t\tres = _lis(arr , i) \n\t\tif arr[i-1] < arr[n-1] and res+1 > maxEndingHere :  \n\t\t\tmaxEndingHere = res +1\n\t# Compare maxEndingHere with overall maximum. And \n\t# update the overall maximum if needed \n\tmaximum = max(maximum , maxEndingHere) \n\treturn maxEndingHere \ndef lis(arr) :  \n\t# to allow the access of global variable \n\tglobal maximum \n\t# lenght of arr \n\tn = len(arr) \n\t# maximum variable holds the result \n\tmaximum = 1'"
The function _lis() stores its result in maximum,"'\n\t_lis(arr , n) \n\treturn maximum '"
Driver program to test the above function,"'\narr = [10 , 22 , 9 , 33 , 21 , 50 , 41 , 60] \nn = len(arr) \nprint (""Length of lis is "", lis(arr) )'"
Function for nth Fibonacci number,"'\ndef Fibonacci(n) :  \n\tif n<0 :  \n\t\tprint(""Incorrect input"") \n\t# First Fibonacci number is 0 \n\telif n==0 :  \n\t\treturn 0\n\t# Second Fibonacci number is 1 \n\telif n==1 :  \n\t\treturn 1\n\telse :  \n\t\treturn Fibonacci(n-1)+Fibonacci(n-2) '"
Driver Program,'\nprint(Fibonacci(9)) '
write a python program to add two list of same length.,"""\ndef add_two_list_items() : \n\tnum1 = [1,2,3]\n\tnum2 = [4,5,6]\n\tsum = num1 + num2\n\tprint(f'Sum :  {sum}')"""
write a python program to add numbers from two list if first list item is even and second list item is odd.,"'\ndef add_two_lists_even_odd(l1, l2) : \n\tnew = []\n\tfor x, y in zip(l1, l2) : \n\t\tif l1%2 == 0 and l2%2 != 0 : \n\t\t\tnew.append(x+y)\n\treturn new'"
write a python program Convert KM/H to MPH,"'\nkmh = 50\nmph =  0.6214 * kmh\nprint(""Speed : "", kmh, ""KM/H = "", mph, ""MPH"")'"
write a program to find and print the smallest among three numbers,"""\nnum1 = 100\nnum2 = 200\nnum3 = 300\nif (num1 <= num2) and (num1 <= num3) : \n\tsmallest = num1\nelif (num2 <= num1) and (num2 <= num3) : \n\tsmallest = num2\nelse : \n\tsmallest = num3\nprint(f'smallest : {smallest}')"""
write a function to sort a list,"'\nraw_list = [-5, -23, 5, 0, 23, -6, 23, 67]\nsorted_list = []\nwhile raw_list : \n\tminimum = raw_list[0]   \n\tfor x in raw_list :  \n\t\tif x < minimum : \n\t\t\tminimum = x\n\tsorted_list.append(minimum)\n\traw_list.remove(minimum)\t\nprint(soreted_list)'"
